8.500731912230012899e-01,1.699999408173354487e+00,-5.266645702569545673e-01,2.371527810909324074e-04
8.501420512259975082e-01,1.699998191801354253e+00,-5.265534091972565722e-01,4.613347391528854757e-04
8.502065834448436776e-01,1.699996356465115710e+00,-5.264492050208129381e-01,6.725472055153502993e-04
8.502667919953990072e-01,1.699993909243940449e+00,-5.263519568025303297e-01,8.707913907579634127e-04
8.503226816720441672e-01,1.699990858713204656e+00,-5.262616621359222924e-01,1.056068386721120689e-03
8.503742579457831408e-01,1.699987214940279268e+00,-5.261783171351311905e-01,1.228379169597615395e-03
8.504215269619324058e-01,1.699982989478487472e+00,-5.261019164379989732e-01,1.387724604109297211e-03
8.504644955373965587e-01,1.699978195359101552e+00,-5.260324532101813277e-01,1.534105448760092472e-03
8.505031711575348208e-01,1.699972847081391958e+00,-5.259699191503037774e-01,1.667522362158391225e-03
8.505375619726205372e-01,1.699966960600735710e+00,-5.259143044961513969e-01,1.787975910403916124e-03
8.505676767938967764e-01,1.699960553314795675e+00,-5.258655980318860390e-01,1.895466575529969333e-03
8.505935250892299182e-01,1.699953644047790036e+00,-5.258237870962835236e-01,1.989994764990732357e-03
8.506151169783662258e-01,1.699946253032863952e+00,-5.257888575919809071e-01,2.071560822183182715e-03
8.506324632277952880e-01,1.699938401892585826e+00,-5.257607939957235077e-01,2.140165037994301578e-03
8.506455752452226626e-01,1.699930113617587280e+00,-5.257395793696003627e-01,2.195807663358029238e-03
8.506544650736583835e-01,1.699921412543370813e+00,-5.257251953732559047e-01,2.238488922810755177e-03
8.506591453851246598e-01,1.699912324325312030e+00,-5.257176222770636453e-01,2.268209029029355506e-03
8.506596294739876551e-01,1.699902875911881051e+00,-5.257168389762478800e-01,2.284968198336900791e-03
8.506559312499197834e-01,1.699893095516115116e+00,-5.257228230059369789e-01,2.288766667160269108e-03
8.506480652304974077e-01,1.699883012585373665e+00,-5.257355505571326137e-01,2.279604709419014164e-03
8.506360465334393828e-01,1.699872657769406992e+00,-5.257549964935761544e-01,2.257482654834053193e-03
8.506198908684934334e-01,1.699862062886777547e+00,-5.257811343694943629e-01,2.222400908127752928e-03
8.505996145289763666e-01,1.699851260889669202e+00,-5.258139364482049549e-01,2.174359969104533441e-03
